Regiao,Data,Ocupados_ContaPropria,Renda_Transporte,Renda_Geral,Populacao_Estimada,Densidade_Uberizacao_100k,Impacto_Renda_Per_Capita
Brasil,2012-01-01,1.325376e+18,1.325376e+18,1.325376e+18,192297296.9322382,689232777134166.8,9.134925812269734e+27
Brasil,2012-04-01,1.3332384e+18,1.3332384e+18,1.3332384e+18,192552809.33994982,692401427208565.2,9.231361709692639e+27
Brasil,2012-07-01,1.3411008e+18,1.3411008e+18,1.3411008e+18,192808321.7476614,695561679000126.6,9.32818324156413e+27
Brasil,2012-10-01,1.3490496e+18,1.3490496e+18,1.3490496e+18,193066641.9840292,698748155629907.1,9.426459198532639e+27
Brasil,2013-01-01,1.3569984e+18,1.3569984e+18,1.3569984e+18,193324962.220397,701926116738600.9,9.525126173324946e+27
Brasil,2013-04-01,1.3647744e+18,1.3647744e+18,1.3647744e+18,193577666.79945242,705026784631056.8,9.622025069787797e+27
Brasil,2013-07-01,1.3726368e+18,1.3726368e+18,1.3726368e+18,193833179.20716405,708153684325097.0,9.720378071602112e+27
Brasil,2013-10-01,1.3805856e+18,1.3805856e+18,1.3805856e+18,194091499.44353184,711306576515815.9,9.820196167230335e+27
Brasil,2014-01-01,1.3885344e+18,1.3885344e+18,1.3885344e+18,194349819.6798996,714451087367593.6,9.920399119273091e+27
Brasil,2014-04-01,1.3963104e+18,1.3963104e+18,1.3963104e+18,194602524.25895506,717519161335208.5,1.0018794671716295e+28
Brasil,2014-07-01,1.4041728e+18,1.4041728e+18,1.4041728e+18,194858036.66666666,720613234137242.4,1.0118655026955472e+28
Brasil,2014-10-01,1.4121216e+18,1.4121216e+18,1.4121216e+18,195116356.90303445,723733070058176.5,1.0219991008634642e+28
Brasil,2015-01-01,1.4200704e+18,1.4200704e+18,1.4200704e+18,195374677.13940224,726844656017914.9,1.0321705814092228e+28
Brasil,2015-04-01,1.4278464e+18,1.4278464e+18,1.4278464e+18,195627381.71845767,729880647308832.8,1.0421574546895867e+28
Brasil,2015-07-01,1.4357088e+18,1.4357088e+18,1.4357088e+18,195882894.1261693,732942407454553.8,1.0522918642756885e+28
Brasil,2015-10-01,1.4436576e+18,1.4436576e+18,1.4436576e+18,196141214.3625371,736029704257678.0,1.0625748763773493e+28
Brasil,2016-01-01,1.4516064e+18,1.4516064e+18,1.4516064e+18,196399534.59890485,739108879745835.4,1.0728951801358852e+28
Brasil,2016-04-01,1.4594688e+18,1.4594688e+18,1.4594688e+18,196655047.00661647,742146627923002.8,1.0831398484788314e+28
Brasil,2016-07-01,1.4673312e+18,1.4673312e+18,1.4673312e+18,196910559.4143281,745176492497045.0,1.09342071694748e+28
Brasil,2016-10-01,1.47528e+18,1.47528e+18,1.47528e+18,197168879.65069586,748231669527972.2,1.103851217421227e+28
Brasil,2017-01-01,1.4832288e+18,1.4832288e+18,1.4832288e+18,197427199.88706365,751278851570840.8,1.1143184294807963e+28
Brasil,2017-04-01,1.4910048e+18,1.4910048e+18,1.4910048e+18,197679904.4661191,754252084462913.8,1.1245934783442099e+28
Brasil,2017-07-01,1.4988672e+18,1.4988672e+18,1.4988672e+18,197935416.8738307,757250634410423.8,1.1350181380969755e+28
Brasil,2017-10-01,1.506816e+18,1.506816e+18,1.506816e+18,198193737.1101985,760274276054540.0,1.145593443547398e+28
Brasil,2018-01-01,1.5147648e+18,1.5147648e+18,1.5147648e+18,198452057.3465663,763290046096470.5,1.156204894017311e+28
Brasil,2018-04-01,1.5225408e+18,1.5225408e+18,1.5225408e+18,198704761.92562172,766232668631218.1,1.1666205002839097e+28
Brasil,2018-07-01,1.5304032e+18,1.5304032e+18,1.5304032e+18,198960274.33333334,769200386925481.8,1.1771867335919954e+28
Brasil,2018-10-01,1.538352e+18,1.538352e+18,1.538352e+18,199218594.5697011,772192978934892.0,1.1879046135304491e+28
Brasil,2019-01-01,1.5463008e+18,1.5463008e+18,1.5463008e+18,199476914.8060689,775177820202057.5,1.1986580835206976e+28
Brasil,2019-04-01,1.5540768e+18,1.5540768e+18,1.5540768e+18,199729619.38512436,778090302672326.6,1.2092120876880408e+28
Brasil,2019-07-01,1.5619392e+18,1.5619392e+18,1.5619392e+18,199985131.79283595,781027662405427.5,1.2199177221954035e+28
Brasil,2019-10-01,1.569888e+18,1.569888e+18,1.569888e+18,200243452.02920374,783989680606907.2,1.2307759917086163e+28
Brasil,2020-01-01,1.5778368e+18,1.5778368e+18,1.5778368e+18,200501772.26557153,786944066464460.2,1.2416693076092712e+28
Brasil,2020-04-01,1.5856992e+18,1.5856992e+18,1.5857184e+18,200757284.67328313,789858859956490.4,1.2524785623459187e+28
Brasil,2020-07-01,1.5935616e+18,1.5935616e+18,1.5936e+18,201012797.08099476,792766243314300.5,1.2633218431219259e+28
Brasil,2020-10-01,1.6015104e+18,1.6015104e+18,1.6014816e+18,201271117.31736255,795698072006403.4,1.2743187375782037e+28
Brasil,2021-01-01,1.6094592e+18,1.6094592e+18,1.6093632e+18,201529437.5537303,798622384668194.1,1.2853501443301638e+28
Brasil,2021-04-01,1.6172352e+18,1.6172352e+18,1.6172448e+18,201782142.13278577,801475880326294.8,1.2961750056146712e+28
Brasil,2021-07-01,1.6250976e+18,1.6250976e+18,1.6251264e+18,202037654.54049736,804353823892891.2,1.3071534687591601e+28
Brasil,2021-10-01,1.6330464e+18,1.6330464e+18,1.633008e+18,202295974.77686515,807256002894407.2,1.3182865094051013e+28
Brasil,2022-01-01,1.6409952e+18,1.6409952e+18,1.6408896e+18,202554295.01323295,810150779519532.4,1.329453540467811e+28
Brasil,2022-04-01,1.6487712e+18,1.6487712e+18,1.6487712e+18,202806999.59228837,812975490646080.0,1.3404105752831262e+28
Brasil,2022-07-01,1.6566336e+18,1.6566336e+18,1.6566336e+18,203062512.0,815824439323394.2,1.3515221778842962e+28
Brasil,2022-10-01,1.6645824e+18,1.6645824e+18,1.6645824e+18,203062512.0,819738898925863.8,1.3645229437473715e+28
Brasil,2023-01-01,1.6725312e+18,1.6725312e+18,1.6725312e+18,203062512.0,823653358528333.4,1.3775859401234237e+28
Brasil,2023-04-01,1.6803072e+18,1.6803072e+18,1.6803072e+18,203062512.0,827482721182923.2,1.3904251742792585e+28
Brasil,2023-07-01,1.6881696e+18,1.6881696e+18,1.6881696e+18,203062512.0,831354632311453.0,1.4034676170873726e+28
Brasil,2023-10-01,1.6961184e+18,1.6961184e+18,1.6961184e+18,203062512.0,835269091913922.5,1.4167152757464954e+28
Brasil,2024-01-01,1.7040672e+18,1.7040672e+18,1.7040672e+18,203062512.0,839183551516392.1,1.4300251649185943e+28
Brasil,2024-04-01,1.7119296e+18,1.7119296e+18,1.7119296e+18,203062512.0,843055462644921.9,1.443251600943536e+28
Brasil,2024-07-01,1.719792e+18,1.719792e+18,1.719792e+18,203062512.0,846927373773451.6,1.4565389219965918e+28
Brasil,2024-10-01,1.7277408e+18,1.7277408e+18,1.7277408e+18,203062512.0,850841833375921.2,1.4700341498703807e+28
Brasil,2025-01-01,1.7356896e+18,1.7356896e+18,1.7356896e+18,203062512.0,854756292978390.8,1.483591608257146e+28
Brasil,2025-04-01,1.7434656e+18,1.7434656e+18,1.7434656e+18,203062512.0,858585655632980.6,1.496914555249548e+28
Brasil,2025-07-01,1.751328e+18,1.751328e+18,1.751328e+18,203062512.0,862457566761510.2,1.5104460854813024e+28
Nordeste,2012-01-01,1.325376e+18,1.325376e+18,1.325376e+18,53277680.0862423,2487675885764115.5,3.2971059147705004e+28
Nordeste,2012-04-01,1.3332384e+18,1.3332384e+18,1.3332384e+18,53310123.50673055,2500910356794943.5,3.3343097226367196e+28
Nordeste,2012-07-01,1.3411008e+18,1.3411008e+18,1.3411008e+18,53342566.9272188,2514128729181355.5,3.371700050008099e+28
Nordeste,2012-10-01,1.3490496e+18,1.3490496e+18,1.3490496e+18,53375366.86881132,2527476023379403.5,3.409690518349575e+28
Nordeste,2013-01-01,1.3569984e+18,1.3569984e+18,1.3569984e+18,53408166.81040383,2540806923437894.0,3.4478709298141443e+28
Nordeste,2013-04-01,1.3647744e+18,1.3647744e+18,1.3647744e+18,53440253.709787816,2553832186897038.5,3.4854047905730936e+28
Nordeste,2013-07-01,1.3726368e+18,1.3726368e+18,1.3726368e+18,53472697.13027607,2566986282094264.0,3.5235398358977678e+28
Nordeste,2013-10-01,1.3805856e+18,1.3805856e+18,1.3805856e+18,53505497.07186858,2580268711728063.0,3.562281827542315e+28
Nordeste,2014-01-01,1.3885344e+18,1.3885344e+18,1.3885344e+18,53538297.0134611,2593534866547738.5,3.601212379800944e+28
Nordeste,2014-04-01,1.3963104e+18,1.3963104e+18,1.3963104e+18,53570383.91284508,2606496907454854.5,3.639478739447051e+28
Nordeste,2014-07-01,1.4041728e+18,1.4041728e+18,1.4041728e+18,53602827.333333336,2619587193168081.5,3.678353083874966e+28
Nordeste,2014-10-01,1.4121216e+18,1.4121216e+18,1.4121216e+18,53635627.27492585,2632805229929983.0,3.717841133777095e+28
Nordeste,2015-01-01,1.4200704e+18,1.4200704e+18,1.4200704e+18,53668427.216518365,2646007110047978.0,3.757516375168676e+28
Nordeste,2015-04-01,1.4278464e+18,1.4278464e+18,1.4278464e+18,53700514.11590235,2658906387596709.0,3.7965099134669657e+28
Nordeste,2015-07-01,1.4357088e+18,1.4357088e+18,1.4357088e+18,53732957.5363906,2671933327004506.5,3.8361181905936474e+28
Nordeste,2015-10-01,1.4436576e+18,1.4436576e+18,1.4436576e+18,53765757.47798312,2685087438024420.0,3.8763468865684833e+28
Nordeste,2016-01-01,1.4516064e+18,1.4516064e+18,1.4516064e+18,53798557.41957563,2698225509429376.0,3.9167614181309427e+28
Nordeste,2016-04-01,1.4594688e+18,1.4594688e+18,1.4594688e+18,53831000.840063885,2711205025401991.0,3.9569191449774134e+28
Nordeste,2016-07-01,1.4673312e+18,1.4673312e+18,1.4673312e+18,53863444.26055213,2724168905542170.5,3.99725802917188e+28
Nordeste,2016-10-01,1.47528e+18,1.47528e+18,1.47528e+18,53896244.20214465,2737259380202406.5,4.038224018425006e+28
Nordeste,2017-01-01,1.4832288e+18,1.4832288e+18,1.4832288e+18,53929044.14373717,2750333931465108.0,4.0793744967662745e+28
Nordeste,2017-04-01,1.4910048e+18,1.4910048e+18,1.4910048e+18,53961131.04312115,2763108873326831.5,4.119808593052898e+28
Nordeste,2017-07-01,1.4988672e+18,1.4988672e+18,1.4988672e+18,53993574.4636094,2776010321395200.5,4.160870817600724e+28
Nordeste,2017-10-01,1.506816e+18,1.506816e+18,1.506816e+18,54026374.40520192,2789037792354462.5,4.202566770124382e+28
Nordeste,2018-01-01,1.5147648e+18,1.5147648e+18,1.5147648e+18,54059174.346794434,2802049454700599.5,4.244445881839663e+28
Nordeste,2018-04-01,1.5225408e+18,1.5225408e+18,1.5225408e+18,54091261.24617842,2814762985596991.5,4.285591487901232e+28
Nordeste,2018-07-01,1.5304032e+18,1.5304032e+18,1.5304032e+18,54123704.666666664,2827602451505013.5,4.327371840111118e+28
Nordeste,2018-10-01,1.538352e+18,1.538352e+18,1.538352e+18,54156504.608259186,2840567372520922.0,4.369792498652306e+28
Nordeste,2019-01-01,1.5463008e+18,1.5463008e+18,1.5463008e+18,54189304.5498517,2853516598607523.0,4.412394999240092e+28
Nordeste,2019-04-01,1.5540768e+18,1.5540768e+18,1.5540768e+18,54221391.449235685,2866169160293481.5,4.454246996887581e+28
Nordeste,2019-07-01,1.5619392e+18,1.5619392e+18,1.5619392e+18,54253834.86972393,2878947089639984.0,4.4967403140346055e+28
