"Tabela 4097 - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação e categoria do emprego no trabalho principal"
"";"Trimestre";"Posição na ocupação e categoria do emprego no trabalho principal";"Variável";""
"Brasil";"1º trimestre 2012";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20096"
"Brasil";"2º trimestre 2012";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"19855"
"Brasil";"3º trimestre 2012";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"19806"
"Brasil";"4º trimestre 2012";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20146"
"Brasil";"1º trimestre 2013";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20005"
"Brasil";"2º trimestre 2013";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20334"
"Brasil";"3º trimestre 2013";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20497"
"Brasil";"4º trimestre 2013";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20794"
"Brasil";"1º trimestre 2014";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20440"
"Brasil";"2º trimestre 2014";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20556"
"Brasil";"3º trimestre 2014";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"20921"
"Brasil";"4º trimestre 2014";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21164"
"Brasil";"1º trimestre 2015";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21122"
"Brasil";"2º trimestre 2015";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21428"
"Brasil";"3º trimestre 2015";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21586"
"Brasil";"4º trimestre 2015";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22269"
"Brasil";"1º trimestre 2016";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22558"
"Brasil";"2º trimestre 2016";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22242"
"Brasil";"3º trimestre 2016";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21251"
"Brasil";"4º trimestre 2016";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21506"
"Brasil";"1º trimestre 2017";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21527"
"Brasil";"2º trimestre 2017";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21900"
"Brasil";"3º trimestre 2017";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22284"
"Brasil";"4º trimestre 2017";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22588"
"Brasil";"1º trimestre 2018";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22367"
"Brasil";"2º trimestre 2018";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22421"
"Brasil";"3º trimestre 2018";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22826"
"Brasil";"4º trimestre 2018";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23223"
"Brasil";"1º trimestre 2019";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23180"
"Brasil";"2º trimestre 2019";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23545"
"Brasil";"3º trimestre 2019";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23849"
"Brasil";"4º trimestre 2019";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23983"
"Brasil";"1º trimestre 2020";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23512"
"Brasil";"2º trimestre 2020";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21029"
"Brasil";"3º trimestre 2020";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"21170"
"Brasil";"4º trimestre 2020";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"22576"
"Brasil";"1º trimestre 2021";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"23161"
