"Tabela 5442 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal, por grupamento de atividade no trabalho principal"
"";"Trimestre";"Grupamento de atividade no trabalho principal";"Variável";""
"Brasil";"1º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3224"
"Brasil";"2º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3275"
"Brasil";"3º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3189"
"Brasil";"4º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3239"
"Brasil";"1º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3173"
"Brasil";"2º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3312"
"Brasil";"3º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3401"
"Brasil";"4º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3283"
"Brasil";"1º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3363"
"Brasil";"2º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3344"
"Brasil";"3º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3358"
"Brasil";"4º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3425"
"Brasil";"1º trimestre 2015";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3302"
"Brasil";"2º trimestre 2015";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3246"
"Brasil";"3º trimestre 2015";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3235"
"Brasil";"4º trimestre 2015";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3211"
"Brasil";"1º trimestre 2016";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3176"
"Brasil";"2º trimestre 2016";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3154"
"Brasil";"3º trimestre 2016";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3161"
"Brasil";"4º trimestre 2016";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3217"
"Brasil";"1º trimestre 2017";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3081"
"Brasil";"2º trimestre 2017";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3110"
"Brasil";"3º trimestre 2017";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3046"
"Brasil";"4º trimestre 2017";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3153"
"Brasil";"1º trimestre 2018";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3127"
"Brasil";"2º trimestre 2018";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3133"
"Brasil";"3º trimestre 2018";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3092"
"Brasil";"4º trimestre 2018";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3118"
"Brasil";"1º trimestre 2019";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3120"
"Brasil";"2º trimestre 2019";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3124"
"Brasil";"3º trimestre 2019";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3071"
"Brasil";"4º trimestre 2019";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3090"
"Brasil";"1º trimestre 2020";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3085"
"Brasil";"2º trimestre 2020";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3152"
"Brasil";"3º trimestre 2020";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2984"
"Brasil";"4º trimestre 2020";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2862"
"Brasil";"1º trimestre 2021";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2851"
"Brasil";"2º trimestre 2021";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2781"
"Brasil";"3º trimestre 2021";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2878"
"Brasil";"4º trimestre 2021";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2863"
"Brasil";"1º trimestre 2022";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2828"
"Brasil";"2º trimestre 2022";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2952"
"Brasil";"3º trimestre 2022";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2990"
"Brasil";"4º trimestre 2022";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3104"
"Brasil";"1º trimestre 2023";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2982"
"Brasil";"2º trimestre 2023";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3000"
"Brasil";"3º trimestre 2023";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3042"
"Brasil";"4º trimestre 2023";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3068"
"Brasil";"1º trimestre 2024";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3201"
"Brasil";"2º trimestre 2024";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3205"
"Brasil";"3º trimestre 2024";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3225"
"Brasil";"4º trimestre 2024";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3290"
"Brasil";"1º trimestre 2025";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3292"
"Brasil";"2º trimestre 2025";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3207"
"Brasil";"3º trimestre 2025";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"3303"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Notas"
