"Tabela 5442 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal, por grupamento de atividade no trabalho principal"
"Grande Região";"Trimestre";"Grupamento de atividade no trabalho principal";"Variável";""
"Nordeste";"1º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2203"
"Nordeste";"2º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2131"
"Nordeste";"3º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2062"
"Nordeste";"4º trimestre 2012";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2058"
"Nordeste";"1º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2151"
"Nordeste";"2º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2219"
"Nordeste";"3º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2296"
"Nordeste";"4º trimestre 2013";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2302"
"Nordeste";"1º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2483"
"Nordeste";"2º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2248"
"Nordeste";"3º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2301"
"Nordeste";"4º trimestre 2014";"Transporte, armazenagem e correio";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)";"2366"
